Skill                                                                                                  	Summary                                                                                                                                                                                                        	Examples
<a href="https://github.com/NeonGeckoCom/skill-i_like_brands.git">I Like Brands<a>                     	Skill that lets Neon catch user’s preferences from the list of available brands.                                                                                                                               	i like neon,i don't like alpha
<a href="https://github.com/NeonGeckoCom/skill-user_settings">User Settings<a>                         	Have Neon help you change and control your user settings.                                                                                                                                                      	Change my units to metric.,Use imperial units.,Change my time format to military time.,Change my time format to twelve hour time.,Enable hesitation.,Disable hesitation.,Use limited responses.,Use standard responses.,Enable audio recordings.,Disable audio recordings.,Permit transcriptions.,Disable transcriptions.,Talk to me faster.,Talk to me slower.,Talk to me normally.,Change my location to Seattle.,Change my timezone to London.,Tell me my name.,Tell me my first name.,Tell me my last name.,Tell me my username.,Tell me my email address.,Where am I?,My birthday is...,My email address is...,My name is...,Change my first name to Daniel.,Change my preferred name to Dan.,Tell me my language settings.,I will speak to you in Spanish.,Speak to me in French.,Change my primary language to German.,Change my secondary language to Ukrainian.,No secondary language.
<a href="https://github.com/NeonGeckoCom/skill-device_controls">Device Control Center<a>               	Handles system-wide settings and controls.                                                                                                                                                                     	Skip wake words.,Require wake words.,I want you to exit.,I want you to shut down.,I want you to restart.
<a href="https://github.com/NeonGeckoCom/skill-wikipedia">Wikipedia<a>                                 	Wikipedia ![](./logo.png)                                                                                                                                                                                      	Tell me about Elon Musk.,Tell me about beans.,Random Wikipedia.,Check Wikipedia for beans.,Tell me about the Pembroke Welsh Corgi.,Search for chocolate.,"More information." (followup after an initial summary),"Tell me more." (followup after an initial summary)
<a href="https://github.com/NeonGeckoCom/skill-caffeinewiz">CaffeineWiz<a>                             	Provides the caffeine content of various drinks on request.                                                                                                                                                    	Tell me the caffeine content of Pepsi.,How much caffeine is in Starbucks Blonde?,Tell me the caffeine content of Rocket Chocolate.
<a href="https://github.com/NeonGeckoCom/skill-camera">Camera<a>                                       	Take pictures and videos.                                                                                                                                                                                      	take a picture,take a video,record for 30 seconds,show me my last picture
<a href="https://github.com/NeonGeckoCom/skill-messaging">Messaging<a>                                 	Handles mobile requests for phone calls, SMS, and emails.                                                                                                                                                      	call daniel,call 555-555-5555,send a text message to daniel that says hello,send an email to demo@neongecko.com with the subject test email
<a href="https://github.com/NeonGeckoCom/skill-synonyms">Synonyms<a>                                   	This skill handles setting and calling synonym (aliased) commands.
<a href="https://github.com/NeonGeckoCom/skill-personal">Personal<a>                                   	Skill used for introduction between the user and Neon.                                                                                                                                                         	Who are you?,Who made you?,When were you born?,What is your email address?,Where were you born?,What are you?,How are you?,What is your name?,Where are you?
<a href="https://github.com/NeonGeckoCom/skill-playback_control">Playback Control<a>                   	Common playback control system                                                                                                                                                                                 	play my summer playlist,play pandora,pause,resume,next song,next track,previous track,previous song
<a href="https://github.com/NeonGeckoCom/skill-translation">Translation<a>                             	Translate phrases between languages.                                                                                                                                                                           	Translate hello to Polish.,Translate thank you to Ukrainian.
<a href="https://github.com/NeonGeckoCom/skill-fallback_wolfram_alpha">Wolfram Alpha<a>                	General knowledge fallback handler based on [Wolfram Alpha](https://wolframalpha.com) services                                                                                                                 	What is 2 + 2?,Who won best picture in 2006?,How far away is the moon?,Send me the source for that.
<a href="https://github.com/NeonGeckoCom/skill-alerts">Alerts<a>                                       	A skill to schedule alarms, timers, and reminders                                                                                                                                                              	Set an alarm for 8 AM.,When is my next alarm?,Cancel my 8 AM alarm.,Set a 5 minute timer.,How much time is left?,Remind me to go home at 6.,Remind me to take out the trash every thursday at 7 PM.,What are my reminders?,Cancel all alarms.,Cancel all timers.,Cancel all reminders.,Go to sleep.,Start quiet hours.,Stop.,Snooze.,Snooze for 1 minute.,Wake up.,What did I miss?,Did I miss anything?
<a href="https://github.com/NeonGeckoCom/skill-avmusic">AVmusic<a>                                     	Play a song or video requested by the user.                                                                                                                                                                    	play some imagine dragons music on repeat,av play study music playlist,play a cookie baking tutorial video
<a href="https://github.com/NeonGeckoCom/skill-custom_conversation">Custom Conversations<a>            	Create your own or use text script files shared by other users.                                                                                                                                                	tell me available script files,what scripts are available,update my conversations,update my skill files,set my startup script to
<a href="https://github.com/NeonGeckoCom/skill-instructions">Instructions<a>                           	Neon skill for instructions reading and implementation                                                                                                                                                         	start instructions
<a href="https://github.com/NeonGeckoCom/skill-launcher">Launcher<a>                                   	Browse the web by voice                                                                                                                                                                                        	browse to neon.ai,navigate to google.com
